Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
8393		4	不 再 一 樣 的 領 導 力	0	"BLACKABY, HENRY & RICHARD"	基 石	2001					加 州	335			0			FALSE		BLA	248					7		0	國 語
8394		2	人 生 轉 淚 點	9	柯 麥 克	雅 歌	2002					臺 北	175			11.95			FALSE		CHR	245					15		0	國 語
8395	100	9	信 心 的 跳 躍	0	"Boyd, greygory & Edward"	臺 北	2000					宇 宙 光	288			14.5			FALSE		BOY	243					5		0	國 語
8396			子 女 心 ， 父 母 情	0	"Trinp, Tedd"	台 福	2002					加 州	258			13.5			FALSE		TRI	249.14					4		0	國 語
8397		13	聖 經 的 故 事 (上)  舊 約 篇	9	胡 慶 生  ( 翻 譯)	華 文   -  崇 文 館	2002					臺 北	479			14.5			FALSE		HU?220					7		0	國 語	
8398		13	聖 經 的 故 事 (下 )  新 約 篇	9	胡 慶 生  ( 翻 譯 )	華 文   -  崇 文 館	2002					臺 北	272			11.95			FALSE		HU?220					2		0	國 語	
8399			畢 業  101	19	藍 普	校 園	1998					臺 北	327			0			FALSE		LAM	249					1		0	國 語
8400		11	基 督 徒 生 活 模 式	0	GETZ. Gene	証 道	1985					香 港	247			0			FALSE		GET	249					5		0	國 語
8401		14	團 體 遊 戲 集 錦	7	呂 仁 秀	大 光	1988					臺 北	225			0			FALSE		LEU	259					1		0	國 語
8402			解 析 式 新 約 經 文 彙 編	15	潘 秋 松	麥 種 傳 道 會	2002					美 國	1054			44			FALSE		PAN	220					1		0	國 語
8403		16	辨 別 真 靈 恩 與 假 靈 恩	8	吳 伯 恩	校 園	1995					臺 北	99			0			FALSE		WU	237.3					6		0	國 語
